File,Yake,TextRank,SingleRank,TopicRank,PositionRank,MultipartiteRank
Employee Handbook.md,"['employee', 'table', 'company', 'employee handbook', 'harassment', 'attendance', 'handbook', 'mission', 'information', 'performance management']","['contact information\\r\\n\\r\\n # #', '# # company', '# employee', '# # #', 'employee performance', 'performance management processes\\r\\nperformance', 'company information', 'hr email', 'company policies', 'employee']","['# employee handbook\\r\\n\\r\\n', '# company name', 'employee performance', 'company information', 'performance management processes\\r\\nperformance evaluations', 'employee handbook', 'company policies', 'performance management processes\\r\\n7', 'employee benefits\\r\\n8', 'employee benefits\\r\\ninstagram']","['employees', 'time', 'company policies', 'benefits', 'mission', 'company information', 'discrimination', 'harassment', 'work environment free', 'employee handbook']","['# employee handbook\\r\\n\\r\\n', '# company name', '# table', 'employee performance', '#', 'employee handbook', 'company information', 'company policies', 'employee benefits\\r\\ninstagram', 'employee']","['employees', 'time', 'company policies', 'mission', 'company information', 'benefits', 'discrimination', 'harassment', 'employee handbook', 'work environment free']"
employee_contract_Ava Thomas.md,"['providing administrative support', 'ava thomas', 'intellectual property', 'providing administrative', 'hereinafter referred', 'strong', 'health insurance', 'administrative support', 'employment contract', 'contract outlines']","['# # employee information:\\r\\n- <', '# #', '# employment', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'team.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'ava thomas\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'october', 'terms', 'compliance', 'conditions', 'ava thomas']","['# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'team.\\r\\n- <', 'ava thomas\\r\\n-', 'employment', 'administrative assistant\\r\\n-', 'intellectual property rights:</strong', 'administrative support']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'october', 'terms', 'conditions', 'instagram']"
employee_contract_David Lee.md,"['david lee', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'interpreting data', 'employment contract', 'employee', 'contract outlines', 'start date']","['# # employee information:\\r\\n- <', '# #', '# employment', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'insights.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'data analyst\\r\\n-']","['strong', 'employee', 'employer', 'hereinafter', 'employment contract', 'terms', 'compliance', 'conditions', 'david lee', 'retirement']","['# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'insights.\\r\\n- <', 'data analyst\\r\\n-', 'data analytics\\r\\n\\r\\n', 'david lee\\r\\n-', 'employment', 'intellectual property rights:</strong']","['strong', 'employee', 'employer', 'hereinafter', 'employment contract', 'compliance', 'terms', 'conditions', 'instagram', 'david lee']"
employee_contract_Emily Brown.md,"['designing user interfaces', 'emily brown', 'intellectual property', 'hereinafter referred', 'strong', 'designing user', 'health insurance', 'employment contract', 'contract outlines', 'employee']","['# # employee information:\\r\\n- <', '# #', '# employment', 'ux designer\\r\\n- <', 'work hours:</strong', 'health insurance', 'user interfaces', '<', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'emily brown\\r\\n-', 'emily brown']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'april', 'terms', 'compliance', 'conditions', 'emily brown']","['# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'emily brown\\r\\n-', 'employment', 'intellectual property rights:</strong', 'emily brown', 'ux designer\\r\\n-', 'terms']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'april', 'terms', 'conditions', 'instagram']"
employee_contract_Ethan Rodriguez.md,"['ethan rodriguez', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'contract outlines', 'employee', 'start date', 'terms set forth']","['# # employee information:\\r\\n- <', '# #', '# employment', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'premises.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'ethan rodriguez\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'december', 'terms', 'compliance', 'security', 'conditions']","['# terms', 'employee', 'company-owned\\r\\n- <', 'employment contract', 'premises.\\r\\n- <', 'ethan rodriguez\\r\\n-', 'employment', 'intellectual property rights:</strong', 'ethan rodriguez', 'security']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'december', 'terms', 'security', 'conditions']"
employee_contract_Eva Kim.md,"['eva kim', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'contract outlines', 'employee', 'moderating user-generated', 'start date']","['# # employee information:\\r\\n- <', '# #', 'user-generated content.\\r\\n- <', '# employment', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', '<', 'employment', 'employee']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'employee name:</strong', '# terms', 'intellectual property rights:</strong', 'employee', 'employment contract', 'eva kim\\r\\n-']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'june', 'terms', 'compliance', 'conditions', 'eva kim']","['employee name:</strong', '# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'eva kim\\r\\n-', 'content moderator\\r\\n-', 'employment', 'content moderation\\r\\n\\r\\n', 'intellectual property rights:</strong']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'compliance', 'june', 'terms', 'conditions', 'instagram']"
employee_contract_Jane Smith.md,"['jane smith', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'executing marketing', 'employment contract', 'contract outlines', 'employee', 'start date']","['# # employee information:\\r\\n- <', 'marketing campaigns.\\r\\n- <', '# #', '# employment', '<', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'marketing campaigns.\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'jane smith\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'february', 'terms', 'compliance', 'conditions', 'jane smith']","['# terms', 'marketing campaigns.\\r\\n- <', 'employee', 'company-owned\\r\\n- <', 'employment contract', 'jane smith\\r\\n-', 'employment', 'intellectual property rights:</strong', 'marketing specialist\\r\\n-', 'jane smith']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'february', 'compliance', 'terms', 'conditions', 'instagram']"
employee_contract_John Doe.md,"['john doe', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'maintaining software', 'employment contract', 'contract outlines', 'employee', 'start date']","['# # employee information:\\r\\n- <', 'software applications.\\r\\n- <', '# #', '# employment', '<', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'software applications.\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'john doe\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'january', 'terms', 'compliance', 'conditions', 'john doe']","['# terms', 'software applications.\\r\\n- <', 'employee', 'company-owned\\r\\n- <', 'employment contract', 'john doe\\r\\n-', 'employment', 'intellectual property rights:</strong', 'software engineer\\r\\n-', 'john doe']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'january', 'compliance', 'terms', 'conditions', 'instagram']"
employee_contract_Leo Kim.md,"['leo kim', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'interpreting data', 'employment contract', 'contract outlines', 'employee', 'start date']","['data science\\r\\n\\r\\n # #', '# #', '# employment', 'information:\\r\\n- <', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'insights.\\r\\n- < strong', 'data science\\r\\n\\r\\n # # terms', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'intellectual property rights:</strong', 'employment contract', 'employee', 'data scientist\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'april', 'terms', 'compliance', 'conditions', 'leo kim']","['employee', 'employment contract', 'company-owned\\r\\n- <', 'data scientist\\r\\n-', 'insights.\\r\\n- <', 'leo kim\\r\\n-', 'employment', 'intellectual property rights:</strong', 'data', 'leo kim']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'april', 'terms', 'conditions', 'instagram']"
employee_contract_Liam Kim.md,"['liam kim', 'intellectual property', 'hereinafter referred', 'strong', 'maintaining data', 'health insurance', 'employment contract', 'contract outlines', 'employee', 'start date']","['# # employee information:\\r\\n- <', '# #', '# employment', 'data engineer\\r\\n- <', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', '<', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'liam kim\\r\\n-', 'data engineer\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'august', 'terms', 'compliance', 'data', 'conditions']","['# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'liam kim\\r\\n-', 'data engineer\\r\\n-', 'employment', 'intellectual property rights:</strong', 'liam kim', 'data']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'august', 'terms', 'data', 'conditions']"
employee_contract_Lucas Martinez.md,"['lucas martinez', 'intellectual property', 'quality assurance', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'contract outlines', 'employee', 'start date']","['quality assurance specialist\\r\\n- <', '# # employee', 'lucas martinez\\r\\n- <', '# #', '# employment', '<', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment']","['# employee information:\\r\\n- < strong', 'quality assurance specialist\\r\\n- < strong', 'lucas martinez\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'employee name:</strong', '# terms', 'intellectual property rights:</strong', 'employee']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'february', 'terms', 'compliance', 'conditions', 'lucas martinez']","['lucas martinez\\r\\n- <', 'company-owned\\r\\n- <', 'employee name:</strong', '# terms', 'employee', 'employment contract', 'quality assurance\\r\\n\\r\\n', 'employment', 'quality', 'intellectual property rights:</strong']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'compliance', 'february', 'terms', 'conditions', 'instagram']"
employee_contract_Luna Nguyen.md,"['luna nguyen', 'intellectual property', 'hereinafter referred', 'strong', 'producing engaging', 'health insurance', 'creative content', 'employment contract', 'contract outlines', 'employee']","['# # employee', 'luna nguyen\\r\\n- <', '# #', '# employment', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'content']","['# employee information:\\r\\n- < strong', 'luna nguyen\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'company.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'march', 'terms', 'compliance', 'conditions', 'luna nguyen']","['luna nguyen\\r\\n- <', '# terms', 'company-owned\\r\\n- <', 'company.\\r\\n- <', 'employee', 'employment contract', 'content creator\\r\\n-', 'content creation\\r\\n\\r\\n', 'creative content', 'employment']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'march', 'terms', 'conditions', 'instagram']"
employee_contract_Max Nguyen.md,"['max nguyen', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'maintaining software', 'employment contract', 'contract outlines', 'employee', 'start date']","['# #', '# employment', '<', 'company policies:</strong', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'max nguyen\\r\\n- < strong', 'software developer\\r\\n- < strong', 'software applications.\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract']","['employee', 'employer', 'strong', 'employment contract', 'hereinafter', 'july', 'terms', 'compliance', 'conditions', 'max nguyen']","['max nguyen\\r\\n- <', 'software developer\\r\\n- <', 'software applications.\\r\\n- <', 'company-owned\\r\\n- <', '# terms', 'employee', 'employment contract', 'employment', 'intellectual property rights:</strong', 'max nguyen']","['employer', 'employee', 'strong', 'employment contract', 'hereinafter', 'july', 'compliance', 'terms', 'conditions', 'instagram']"
employee_contract_Mia Hernandez.md,"['public relations', 'mia hernandez', 'intellectual property', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'contract outlines', 'employee', 'start date']","['# # employee information:\\r\\n- <', '# #', '# employment', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', '<', 'employment', 'employee']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'employee name:</strong', 'public relations manager\\r\\n-', '# terms', 'intellectual property rights:</strong', 'employee', 'employment contract']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'january', 'terms', 'compliance', 'conditions', 'mia hernandez']","['employee name:</strong', '# terms', 'public relations manager\\r\\n-', 'employee', 'employment contract', 'public relations', 'company-owned\\r\\n- <', 'mia hernandez\\r\\n-', 'employment', 'intellectual property rights:</strong']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'compliance', 'january', 'terms', 'conditions', 'public']"
employee_contract_Michael Johnson.md,"['leading product development', 'michael johnson', 'leading product', 'intellectual property', 'hereinafter referred', 'strong', 'product development', 'health insurance', 'employment contract', 'contract outlines']","['# # employee information:\\r\\n- <', '# #', '# employment', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'product', '<', 'employment']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'product manager\\r\\n-', 'product management\\r\\n\\r\\n']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'march', 'terms', 'compliance', 'conditions', 'michael johnson']","['# terms', 'employee', 'employment contract', 'product manager\\r\\n-', 'company-owned\\r\\n- <', 'product management\\r\\n\\r\\n', 'michael johnson\\r\\n-', 'employment', 'product development', 'intellectual property rights:</strong']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'march', 'terms', 'conditions', 'instagram']"
employee_contract_Mila Lee.md,"['designing user interfaces', 'mila lee', 'intellectual property', 'hereinafter referred', 'strong', 'designing user', 'health insurance', 'employment contract', 'contract outlines', 'employee']","['# # employee information:\\r\\n- <', '# #', '# employment', 'product designer\\r\\n- <', 'work hours:</strong', 'health insurance', 'user interfaces', '<', 'employment', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'mila lee\\r\\n-', 'mila lee']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'september', 'terms', 'compliance', 'conditions', 'mila lee']","['# terms', 'employee', 'employment contract', 'company-owned\\r\\n- <', 'mila lee\\r\\n-', 'employment', 'intellectual property rights:</strong', 'mila lee', 'product designer\\r\\n-', 'terms']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'september', 'terms', 'conditions', 'instagram']"
